variable,missing_count,missing_percent,non_missing_count
vo,492487,99.99,53
at,492515,99.99,25
so,492348,99.96,192
st,492117,99.91,423
pa,491978,99.89,562
eu,491935,99.88,605
fr,491701,99.83,839
kl,491256,99.74,1284
nsba,490109,99.51,2431
insulin,485505,98.57,7035
igf1,485504,98.57,7036
adiponektin,485331,98.54,7209
ca,485337,98.54,7203
bhb,485323,98.53,7217
nefa,485320,98.53,7220
glukose,485320,98.53,7220
bcs,473916,96.22,18624
rfd,466852,94.78,25688
trltg,446994,90.75,45546
trodat,446994,90.75,45546
trodat_date,446994,90.75,45546
eb_me,441481,89.63,51059
eb_nel,441395,89.62,51145
lakt,436619,88.65,55921
feq,436656,88.65,55884
fpro,436604,88.64,55936
epro,436510,88.62,56030
h2o,355718,72.22,136822
abggrund,240808,48.89,251732
abgdat,240808,48.89,251732
abgdat_date,240808,48.89,251732
tratag,214519,43.55,278021
gew,117186,23.79,375354
apltg,97823,19.86,394717
ftsnel,73917,15.01,418623
ftsme,73917,15.01,418623
fts,73893,15.0,418647
mkg,68867,13.98,423673
kalver,12609,2.56,479931
kaldat,8232,1.67,484308
episode_id,8232,1.67,484308
ltg,8232,1.67,484308
kaldat_date,8232,1.67,484308
lnr,0,0.0,492540
alter,0,0.0,492540
rasse,0,0.0,492540
datum,0,0.0,492540
kw,0,0.0,492540
zeile,0,0.0,492540
farm,0,0.0,492540
lom,0,0.0,492540
gebdat,0,0.0,492540
gesundheit,0,0.0,492540
gebdat_date,0,0.0,492540
datum_date,0,0.0,492540
health_status,0,0.0,492540
